id,location,day_shift,week_day,local_bright,local_noise,battery_level,battery_charging,power_saving,playback,headset,bluetooth,network,screen,orientation,app,schedule,activity,volume,bright,ring_mode
372616a909ebce09,D0,0,6,0,3,5,1,0,0,0,0,2,1,1,1,0,,6,90,1
372616a909ebce09,D0,0,6,0,0,5,1,0,0,0,0,2,1,1,1,0,,6,133,1
372616a909ebce09,D0,0,6,0,0,5,1,0,0,0,0,2,1,1,1,0,3,6,102,1
372616a909ebce09,D0,0,6,0,0,5,1,0,0,0,0,2,1,1,1,0,3,6,102,1
372616a909ebce09,D0,0,6,0,6,5,1,0,0,0,0,2,1,1,1,0,4,6,102,1
372616a909ebce09,D0,0,6,0,0,5,1,0,0,0,0,2,1,1,1,0,4,6,102,1
372616a909ebce09,D0,0,6,0,0,5,1,0,0,0,0,2,1,1,2,0,3,6,102,1
372616a909ebce09,D0,0,6,0,2,5,1,0,0,0,0,2,1,1,2,0,4,6,102,1
372616a909ebce09,D0,0,6,0,2,5,1,0,0,0,0,2,1,1,2,0,4,6,102,1
372616a909ebce09,D1,0,6,0,0,5,1,0,0,0,0,2,1,1,2,0,4,6,102,1
372616a909ebce09,D1,0,6,0,5,5,1,0,0,0,0,2,1,1,2,0,4,6,102,1
372616a909ebce09,D1,0,6,0,3,5,1,0,0,0,0,2,1,1,2,0,4,6,102,1
372616a909ebce09,D1,0,6,0,0,5,1,0,0,0,0,2,1,1,2,0,4,6,102,1
372616a909ebce09,D1,0,6,0,1,5,1,0,0,0,0,2,1,1,3,0,4,6,102,1
372616a909ebce09,D1,0,6,0,0,5,1,0,0,0,0,2,1,1,3,0,3,6,102,1
372616a909ebce09,D1,0,6,0,2,5,1,0,0,0,0,2,1,1,3,0,3,6,102,1
372616a909ebce09,D1,0,6,0,3,5,1,0,0,0,0,2,1,1,3,0,4,6,102,1
372616a909ebce09,D1,0,6,0,1,5,1,0,0,0,0,2,1,1,3,0,4,6,102,1
372616a909ebce09,D1,0,6,0,2,5,1,0,0,0,0,2,1,1,3,0,4,6,102,1
372616a909ebce09,D1,0,6,0,1,5,1,0,0,0,0,2,1,1,3,0,4,6,102,1
372616a909ebce09,D1,0,6,0,5,5,1,0,0,0,0,2,1,1,3,0,4,6,102,1
372616a909ebce09,D1,0,6,0,0,5,1,0,0,0,0,2,1,1,3,0,4,6,102,1
372616a909ebce09,D1,0,6,0,2,5,1,0,0,0,0,2,1,1,3,0,4,6,102,1
372616a909ebce09,D1,0,6,0,0,5,1,0,0,0,0,2,1,1,3,0,4,6,102,1
372616a909ebce09,D1,0,6,0,2,5,1,0,0,0,0,2,1,1,3,0,4,6,102,1
372616a909ebce09,D1,0,6,0,0,5,1,0,0,0,0,2,1,1,3,0,4,6,102,1
372616a909ebce09,D1,0,6,0,0,5,1,0,0,0,0,2,1,1,3,0,3,6,102,1
372616a909ebce09,D1,0,6,0,0,5,1,0,0,0,0,2,1,1,3,0,3,7,102,1
372616a909ebce09,D1,0,6,0,4,5,1,0,0,0,0,2,1,1,3,0,3,7,102,1
372616a909ebce09,D1,0,6,0,0,5,1,0,0,0,0,2,1,1,3,0,3,7,102,1
372616a909ebce09,D1,0,6,0,0,5,1,0,0,0,0,2,1,1,3,0,3,7,102,1
372616a909ebce09,D1,0,6,0,2,5,1,0,1,0,0,2,1,1,3,0,3,12,102,1
372616a909ebce09,D1,0,6,0,2,5,1,0,0,0,0,2,1,1,3,0,3,12,102,1
372616a909ebce09,D1,0,6,0,3,5,1,0,0,0,0,2,1,1,3,0,3,12,102,1
372616a909ebce09,D1,0,6,0,0,5,1,0,0,0,0,2,1,1,3,0,3,12,102,1
372616a909ebce09,D1,0,6,0,4,5,1,0,0,0,0,2,1,1,3,0,3,12,102,1
372616a909ebce09,D1,0,6,0,1,5,1,0,0,0,0,2,1,1,2,0,3,12,102,1
372616a909ebce09,D1,0,6,0,0,5,1,0,0,0,0,2,1,1,2,0,3,12,102,1
372616a909ebce09,D1,0,6,0,0,5,1,0,0,0,0,2,1,1,2,0,4,12,102,1
372616a909ebce09,D1,0,6,0,1,5,1,0,0,0,0,2,1,1,2,0,4,12,102,1
372616a909ebce09,D1,0,6,0,1,5,1,0,0,0,0,2,1,1,2,0,4,12,102,1
372616a909ebce09,D1,0,6,0,2,5,1,0,0,0,0,2,1,1,2,0,4,12,102,1
372616a909ebce09,D1,0,6,0,3,5,1,0,0,0,0,2,1,1,2,0,4,12,102,1
