location,day_shift,week_day,local_bright,local_noise,battery_level,battery_charging,power_saving,playback,headset,bluetooth,network,screen,orientation,app,volume,bright,ring_mode
0,6,4,4,,9,1,0,0,0,0,2,1,1,1,6,19,0
0,6,4,4,,9,0,0,0,0,0,2,1,1,2,6,19,0
0,6,4,3,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,1,1,2,6,16,0
0,6,4,3,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,1,1,12,6,16,0
0,6,4,3,,9,0,0,0,0,0,2,1,1,12,6,16,0
0,6,4,3,,9,0,0,0,0,0,2,1,1,12,6,16,0
0,6,4,3,,9,0,0,0,0,0,2,1,1,12,6,16,0
0,6,4,3,,9,0,0,0,0,0,2,1,1,12,6,16,0
0,6,4,3,,9,0,0,0,0,0,2,1,1,12,6,16,0
0,6,4,3,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
0,6,4,4,,9,0,0,0,0,0,2,0,1,2,6,16,0
